name,ssn,department,salary,gender,country,additional_languages
Jason Hanson,682-17-3277,IT,76209,Male,Canada,Chinese
Thomas Krueger,318-78-3035,Operations,74983,Female,India,Hindi
Carrie Schmidt,832-58-0205,Product,70143,Female,China,"Arabic, German"
Jessica Miller,035-97-6512,Product,107542,Female,India,
Monique Daniel,785-33-3996,Operations,65001,Female,India,"Hindi, Chinese"
Ernest Bennett,067-60-0515,Product,145539,Female,China,"Hindi, Arabic"
Christine Smith,518-56-8866,Sales,111123,Female,India,
Pamela Smith,189-37-9112,Marketing,81105,Male,China,"Hindi, Chinese"
Melissa Jackson,428-38-6877,Product,142591,Male,India,"Arabic, French"
Nicole Williams,429-87-9653,Human Resource,60801,Female,China,
Thomas Frank,660-48-2246,Product,113256,Female,India,
Emily Hall,835-23-0376,Product,92895,Female,India,"French, German"
Derrick Ford,262-26-1845,Legal,73325,Male,India,German
Carla Lawrence,596-87-9275,Human Resource,82186,Male,China,"Chinese, French"
Anthony Hill,780-80-0974,Finance,84364,Female,India,German
Cheryl Smith,591-11-5906,Sales,79227,Male,India,
Mike Houston,793-29-3956,Operations,60385,Female,India,"French, Hindi"
Beth Parker,569-44-5065,Product,81825,Female,India,
Brian Smith,434-79-7824,Administrative,39914,Female,India,German
Michael James,442-53-9948,Operations,63704,Male,India,Chinese
Margaret Chen,124-32-3321,Operations,63593,Female,India,"Chinese, German"
Carlos Mcmillan,287-94-9541,Operations,58014,Female,India,French
Jeffrey Turner,739-86-2969,Human Resource,57655,Male,India,
Briana Mitchell,482-49-7143,Administrative,37374,Female,India,French
Daniel Clark,182-63-3721,Operations,89463,Female,India,"German, Arabic"
Virginia Rios,553-90-9432,Finance,68882,Female,India,
Robert Skinner,755-34-1530,IT,122583,Female,India,"French, Spanish"
David Wilson,816-35-4819,Human Resource,81827,Female,India,"Chinese, Hindi"
Emma Baldwin,291-10-7844,Product,137566,Male,China,
Deborah Best,757-09-3268,Product,91074,Female,India,"Arabic, Spanish"
John Dougherty,811-03-7079,Sales,107629,Female,India,"Arabic, Hindi"
David Delgado,629-44-8612,IT,99225,Female,India,
Noah Burns,838-92-9317,Product,119515,Female,India,
Brett Johnson,321-15-4817,Operations,94104,Female,India,"French, Spanish"
Michael Ward,276-07-5006,Operations,58214,Male,Canada,"Arabic, German"
Kimberly Hernandez,345-37-8999,Operations,72089,Female,India,
Crystal Smith,599-30-5573,Marketing,51720,Male,India,
Debbie Collier,615-88-8103,Marketing,57274,Female,India,Hindi
Jerry Thompson,772-16-6866,Human Resource,58816,Male,India,
Nicholas Ford,343-45-5936,Product,137616,Female,India,"German, Arabic"
Brian Dillon,879-58-1799,IT,74747,Male,China,Arabic
Lisa Beard,403-45-0979,Marketing,77683,Female,China,"Spanish, French"
Wendy Shaw,482-46-5634,Sales,92214,Male,India,Chinese
Julian Smith,716-07-6843,IT,78269,Male,India,"Arabic, Spanish"
James Webb,501-91-9203,Operations,41175,Male,India,"Arabic, German"
Tonya Jackson,402-39-1222,Product,130329,Male,India,Arabic
Cory Gilbert,290-30-0817,Legal,75257,Male,India,
Patricia Rodriguez,521-94-4104,Operations,74602,Female,India,
Anthony Nelson,874-82-8907,IT,82301,Male,India,"French, Arabic"
Samantha Rich,367-50-2854,Legal,100938,Female,China,Arabic
Julie Stevens,730-83-0730,Product,121740,Female,China,"Spanish, Hindi"
Carl Spencer,846-61-9102,Administrative,36257,Female,Mexico,Chinese
Carolyn Dougherty,285-79-9308,Product,127432,Male,India,
Wesley White,544-43-3013,Product,82243,Female,China,
Mary Kelly,730-90-0331,Human Resource,75626,Female,China,"Arabic, Spanish"
Diana Olson,570-05-0829,Human Resource,54759,Male,India,
Olivia Martinez,701-77-0990,Operations,76628,Female,India,
Lisa Erickson,491-93-2701,Human Resource,48483,Male,India,"Chinese, Arabic"
Nancy Chavez MD,793-83-2211,Product,141317,Female,India,
Sheila Johnson,219-24-8614,Operations,87869,Female,India,
Jessica Clements,669-34-8194,Operations,48061,Female,India,Hindi
Virginia Garcia,668-08-3774,Product,74408,Female,India,Hindi
Nicole Juarez,290-14-6303,Administrative,40170,Male,China,"Hindi, German"
Suzanne Carter,381-24-4585,Marketing,95578,Male,India,"Hindi, Spanish"
Raymond Johnson,531-20-0035,IT,115682,Female,India,
Mark Gross,288-06-0690,Human Resource,58178,Female,India,Arabic
Mary Hunt,826-32-9736,Human Resource,67404,Female,India,Chinese
Samuel Lambert,112-07-0385,Operations,53599,Female,China,French
John Rhodes,620-07-0621,Marketing,70824,Male,India,
Amanda Ballard,063-82-1534,Operations,82687,Female,India,"Hindi, Spanish"
Ryan Fisher,519-20-5709,Product,83954,Male,India,French
Carolyn Richards,869-74-0507,Product,90612,Male,India,"Arabic, Hindi"
Karen Rivera,830-03-0798,Administrative,65904,Male,India,"Chinese, Arabic"
Eric Duncan,267-98-4710,Product,141411,Female,India,German
Melissa May,509-66-1084,Administrative,42552,Male,India,
Matthew Huerta,634-59-7824,IT,79639,Female,India,
Rebecca Johnson,600-40-1718,Operations,40415,Male,India,"Chinese, Hindi"
Anthony Cardenas,011-46-1723,IT,75047,Female,China,Hindi
Cathy Jones MD,037-27-7757,Product,123239,Male,India,"Chinese, Hindi"
Douglas Smith,240-26-4298,Legal,147298,Female,China,
Thomas Williams,257-45-4291,Operations,61477,Male,India,
Michael Hines,365-87-9983,IT,96530,Male,India,"Chinese, Arabic"
Larry Jackson,343-02-8274,Sales,44828,Female,India,
Kelly Faulkner,621-34-9682,Product,79049,Male,India,"German, Hindi"
Julie Santos,395-75-6754,Operations,55147,Female,India,German
Heather Oliver,206-37-9833,Product,71629,Male,China,Chinese
Michael Douglas,606-92-6700,Product,122744,Female,India,"Chinese, French"
Brett Ellis,811-87-3984,Product,100867,Male,India,
Dawn Keller,256-27-4915,Product,144563,Female,India,Chinese
Mindy Blair,283-90-8574,IT,86989,Female,India,
Brian Hudson,406-31-7266,Administrative,57290,Male,India,French
Carolyn Anthony,638-78-2371,Operations,74554,Male,India,Chinese
Julia Jones,616-11-1671,Human Resource,83866,Male,India,Arabic
Jacob Wong,631-42-0720,Operations,54420,Female,India,"Spanish, Chinese"
Anthony Morris,187-32-6299,Finance,97252,Female,India,
Kayla Robertson,595-04-9662,Administrative,67203,Female,India,"Hindi, French"
Nicholas Austin,142-73-7253,Finance,62846,Female,Canada,"Spanish, French"
Andrew Sims,132-24-9815,Sales,87808,Male,India,French
Dr. Glenn Anderson,713-92-3344,IT,92436,Male,China,"Arabic, Hindi"
Alyssa Bennett,835-50-0027,Operations,58312,Female,India,"Hindi, Chinese"
Janet Gill DDS,611-53-1606,Operations,43786,Male,India,Arabic
Brittney Wright,739-26-3199,Product,130497,Male,India,German
Sharon Johnson,603-47-7509,Sales,75590,Female,India,"German, Chinese"
Holly Jefferson,242-18-4753,Sales,74873,Female,China,"Chinese, Spanish"
Nicholas Walker,044-74-0679,Legal,68423,Female,India,
Robert Morgan,717-11-2138,Operations,88719,Male,India,"Arabic, French"
Frank Davidson,282-30-7020,Administrative,51414,Male,India,French
Charles Guerra,001-21-0936,Product,127906,Male,India,
Sarah Skinner,564-93-6447,Product,139360,Female,India,
Christopher Hill,067-45-2029,Product,118598,Male,India,
Joseph Burton,724-75-2015,Product,115077,Male,India,
Leah Rojas,078-86-5592,Finance,60799,Male,China,"Spanish, French"
Adam Wise,235-59-9124,Operations,66124,Male,India,
Kristina Clayton,263-75-4325,Administrative,58591,Male,India,
Jason Cannon,346-87-0498,Legal,148757,Male,India,"French, German"
Connor Clark,236-48-5528,Product,104053,Female,India,German
Sarah Blankenship,801-40-5089,Operations,94948,Female,India,
Colleen Fernandez,450-84-7057,Human Resource,64833,Female,India,
Breanna Barnett,697-28-1773,Operations,91167,Male,India,French
Samantha Carter,383-30-3773,Human Resource,60764,Male,Mexico,
Shannon Simon,858-52-1462,Operations,56608,Male,India,Spanish
Christine Thompson DVM,393-56-6280,Sales,100289,Male,India,"German, Hindi"
Eric Sanford,786-42-8870,Finance,122821,Female,India,Chinese
Wendy Harding,157-38-7242,Operations,55159,Male,India,"Spanish, German"
Stephen Thomas,010-93-1964,Sales,118703,Male,India,Chinese
Bruce Miller,085-63-2313,Operations,70728,Female,India,
Sue Bernard,552-23-8070,Product,111339,Female,China,
James Smith,267-14-5931,Administrative,59317,Female,India,"Arabic, Spanish"
Tamara Knight,662-05-2613,Human Resource,55264,Male,India,Arabic
Kim Taylor,539-10-8125,Marketing,77518,Female,India,"Hindi, German"
Tyler Spencer,522-58-7440,Sales,101660,Male,India,Hindi
Charles Hunter,727-08-8379,Marketing,72400,Female,India,Arabic
Kelly Sullivan,174-81-6078,Administrative,30974,Female,India,
Daniel Bell,705-67-4358,Operations,58502,Female,India,
Stacy Adams,035-38-3801,Product,78050,Male,India,"Arabic, Spanish"
Adam Patrick,233-47-7615,Sales,111833,Female,India,Spanish
Kayla Jackson,890-74-3369,IT,105331,Female,Taiwan,
Michael Lewis,258-63-1876,Sales,108882,Male,India,
Mario Randolph,311-71-2532,Product,117156,Male,South Korea,"Hindi, German"
Yolanda Escobar,135-28-8069,IT,86634,Male,India,French
George Dunn,794-15-3902,Marketing,100466,Male,India,
Brett Olson,401-65-5052,Operations,69877,Female,USA,
Sandra Weaver,581-86-7055,Product,139589,Female,South Korea,
Hannah Wall,348-47-0041,Marketing,74388,Female,India,
Erica Dunn,241-37-4960,Marketing,94565,Male,India,
James Arellano,835-65-7655,Administrative,43706,Female,India,
Jennifer Tucker,136-40-3272,Sales,43545,Female,India,"Hindi, Spanish"
Carolyn Smith,556-12-1780,Sales,45154,Male,India,
Kelly Payne,342-44-3184,IT,128140,Male,South Korea,"Chinese, Arabic"
Michael Vega,787-63-2372,Product,73256,Female,India,Arabic
Johnny Sanders,867-38-9660,IT,100018,Male,India,
Eric Diaz,290-30-8349,IT,69752,Male,India,
Rachel Morris,178-75-8506,Operations,40660,Male,India,"Arabic, Chinese"
Raymond Jackson,053-35-7982,IT,121056,Male,India,German
Cory Stanton,792-87-3003,Product,147774,Female,India,
Jeremy Moody,192-94-7264,Administrative,33158,Male,India,"Spanish, Arabic"
Maria Marsh,660-32-3109,Sales,57696,Female,India,
Luis Myers,412-55-2127,Human Resource,89150,Female,Mexico,"Hindi, Arabic"
Mrs. Laurie Horton MD,519-88-7814,Operations,72239,Female,India,"Spanish, Hindi"
Leah Robinson,293-92-5133,Product,106915,Male,India,
Krystal Peters,107-46-6056,Operations,40850,Male,India,
Steven Harris,057-08-1666,Product,108195,Female,India,"Arabic, Chinese"
John Scott,471-49-3341,Sales,44892,Male,India,"Spanish, Hindi"
Sarah Miller,541-92-6151,Operations,56816,Female,China,Arabic
Lance Smith,220-98-0604,Administrative,32490,Female,India,
David Buckley,631-28-4127,Operations,71570,Female,India,
Bernard Sanchez,109-22-3334,Operations,93397,Male,China,"Chinese, German"
Chris Foley MD,714-97-9939,Administrative,34676,Male,India,Spanish
Bradley Dennis,618-09-4785,Administrative,32519,Female,India,"Arabic, German"
Justin Butler,340-11-9092,Finance,53186,Male,India,Arabic
Darren Phelps,245-06-3734,Administrative,39063,Male,India,"German, Chinese"
Nicholas Ramirez,607-07-8722,Product,79712,Female,India,"Arabic, French"
Lisa Smith,651-10-9068,Human Resource,58699,Male,India,
Elizabeth Barnes,467-51-6554,Product,117968,Male,India,German
Kevin Johnson,490-72-0402,IT,109354,Female,India,Chinese
Abigail Hicks,806-58-3004,Operations,74905,Male,India,"German, French"
Abigail Vasquez,434-70-2203,Operations,94014,Female,USA,
Shannon Bailey,691-34-9509,Administrative,47318,Female,India,"Hindi, Spanish"
Christopher York,296-53-7035,Sales,92026,Female,India,"German, Hindi"
Michael Cabrera,188-26-5315,Marketing,82547,Female,India,"German, French"
Kelsey Johns,705-88-6854,Administrative,45885,Female,India,
David Mcconnell,769-80-2475,Administrative,35916,Female,India,Spanish
Kelsey Petty,645-44-6018,Administrative,39549,Male,India,Chinese
Erika Green,290-17-0444,Operations,82508,Male,India,Chinese
Tony Moore,676-51-2348,Finance,51838,Male,India,
Richard Rubio,594-14-6950,Marketing,82204,Male,India,Spanish
Larry Rogers,814-94-3523,Operations,63222,Male,Phillipines,"Spanish, Hindi"
Margaret Hernandez,331-72-7561,Sales,40308,Female,India,"Chinese, German"
James Ruiz,353-33-2973,Human Resource,59545,Female,India,
Kevin Holder,204-54-6511,Sales,45182,Female,India,Chinese
Rachael Mccormick,130-16-3303,IT,125695,Male,India,Arabic
Andrew Ramirez,169-73-8140,Marketing,59207,Female,China,"French, Spanish"
Christopher Carpenter,757-39-7249,Administrative,36077,Male,India,
Mary Paul,026-35-6697,Human Resource,89742,Female,India,Spanish
Jennifer Dalton,677-62-6433,Operations,55323,Female,India,
Victoria Blake,776-50-0038,Legal,52773,Female,India,
Sean Gibson,843-20-3659,Marketing,94942,Male,China,"German, French"
Joseph Martinez,529-60-9564,Legal,148480,Male,India,
Cassandra Hardy,667-76-7512,Finance,59229,Male,China,
Janice Cortez,288-13-2731,Legal,131832,Male,India,"French, German"
Nathan Johnson,795-65-3113,Marketing,51933,Male,India,French
Christina Davis,315-28-2397,IT,85073,Male,India,"Hindi, Arabic"
Cory Smith,242-22-2141,Legal,101576,Female,South Korea,Spanish
Daniel Cardenas,252-76-6676,Operations,94066,Female,India,Spanish
Deborah Brandt,785-28-4099,Product,130052,Male,India,"Chinese, German"
Melissa Johnson,161-51-1236,Administrative,57821,Male,China,
Darryl Garcia,669-69-9592,Finance,103734,Female,India,
Marilyn Manning MD,314-84-4510,Human Resource,82461,Female,India,
Erin White,496-50-7547,Operations,47960,Female,India,
Cameron Fischer MD,022-28-0772,Sales,99983,Female,India,"French, Spanish"
James Brown,141-11-7919,Administrative,32470,Male,India,
April Reed,831-99-2073,Marketing,89768,Female,India,
Frances Gill,878-42-4453,Marketing,97404,Male,India,"Spanish, Hindi"
Jason Castillo,387-83-3168,Operations,94231,Female,India,"Hindi, Spanish"
Theresa Parker,325-03-5863,Product,103399,Male,India,"Arabic, French"
Sarah Schmidt,785-09-5881,Operations,92293,Female,India,"Spanish, French"
Nancy Moran,250-21-9681,Operations,56963,Male,India,
Barbara Reese,313-23-2709,Administrative,36681,Female,USA,
Molly Baldwin,188-08-2445,Operations,64487,Female,India,
Gerald Baldwin,686-64-5012,Operations,69385,Female,India,
Robert Chavez,481-60-8726,Sales,68492,Male,India,French
David Flores,168-53-4012,IT,111528,Male,China,French
Tiffany Collins,179-95-3778,Product,121710,Male,China,"French, Chinese"
Jack Gray,048-34-2880,Legal,138028,Male,India,"Arabic, Spanish"
Michael Jackson,752-96-1709,Human Resource,67230,Male,India,Spanish
Tiffany Norman,024-99-8144,Product,79273,Male,China,
Joe Mcdonald,852-76-2897,Product,107434,Male,India,
George Daniels,333-91-5059,Product,71840,Male,India,French
Michelle Booth,262-69-4221,Product,130845,Female,China,
Kimberly Miller,028-52-4868,Product,145873,Male,India,
